type,latitude,longitude,alt,name,color
T,-32.614215,-69.151246,3038.5,,red
T,-32.614231,-69.151184,3036.4,,red
T,-32.614229,-69.151032,3034.7,,red
T,-32.614223,-69.150747,3034.7,,red
T,-32.614231,-69.150558,3034.8,,red
T,-32.614259,-69.150477,3034.2,,red
T,-32.614286,-69.150264,3033.6,,red
T,-32.614422,-69.150094,3032.4,,red
T,-32.614541,-69.149978,3031,,red
T,-32.614595,-69.149539,3029.8,,red
T,-32.614992,-69.149442,3029.2,,red
T,-32.61506,-69.149334,3028.4,,red
T,-32.615126,-69.149093,3028.6000000000004,,red
T,-32.615257,-69.148996,3029.2,,red
T,-32.615328,-69.148914,3028.6,,red
T,-32.615394,-69.148823,3027.7,,red
T,-32.615458,-69.148689,3027.2,,red
T,-32.61556,-69.148544,3026.6,,red
T,-32.615665,-69.148545,3025.5,,red
T,-32.615683,-69.148491,3025.3,,red
T,-32.615713,-69.148174,3024.7,,red
T,-32.615872,-69.147966,3023.8,,red
T,-32.615987,-69.147678,3023.1,,red
T,-32.616088,-69.147387,3022.2,,red
T,-32.616159,-69.147326,3021.5,,red
T,-32.616161,-69.147263,3020.5,,red
T,-32.616159,-69.147143,3019.7,,red
T,-32.616154,-69.146949,3019,,red
T,-32.616147,-69.146715,3018.5,,red
T,-32.616135,-69.146207,3018.6,,red
T,-32.616239,-69.146011,3018,,red
T,-32.616277,-69.145745,3016.8,,red
T,-32.616328,-69.145677,3016,,red
T,-32.616345,-69.145543,3015.4,,red
T,-32.616394,-69.145404,3014.4,,red
T,-32.616445,-69.14513,3013.8,,red
T,-32.616575,-69.144799,3013.3,,red
T,-32.616895,-69.14459,3013.2,,red
T,-32.617134,-69.14455,3013.8,,red
T,-32.617197,-69.144515,3014.7,,red
T,-32.617263,-69.144455,3014.9,,red
T,-32.617395,-69.144384,3013.8,,red
T,-32.617521,-69.144219,3012.1,,red
T,-32.617786,-69.14419,3010.3,,red
T,-32.617837,-69.14416,3009.1,,red
T,-32.617889,-69.144126,3008.2,,red
T,-32.61794,-69.144045,3007.7,,red
T,-32.618038,-69.143837,3006.5,,red
T,-32.618278,-69.143564,3004,,red
T,-32.61854,-69.143513,3002,,red
T,-32.618578,-69.143455,3000.9,,red
T,-32.618611,-69.143399,3001,,red
T,-32.618647,-69.143347,3002.2,,red
T,-32.618689,-69.143206,3003.3,,red
T,-32.618789,-69.142955,3003.3,,red
T,-32.618937,-69.142654,3002.2,,red
T,-32.619076,-69.142522,3001.5,,red
T,-32.619125,-69.141918,3001.2,,red
T,-32.619396,-69.141797,3000.7,,red
T,-32.619451,-69.141671,2999.8,,red
T,-32.619504,-69.141092,2998.7,,red
T,-32.619757,-69.14052,2998.3,,red
T,-32.619988,-69.140418,2999,,red
T,-32.620016,-69.140342,3000.1,,red
T,-32.620026,-69.140151,3000.1,,red
T,-32.620074,-69.140047,2998.7,,red
T,-32.620111,-69.139859,2997.5,,red
T,-32.620225,-69.139787,2997,,red
T,-32.620258,-69.139304,2997.4,,red
T,-32.620405,-69.139211,2998.6,,red
T,-32.620435,-69.139216,2998.6,,red
T,-32.62044,-69.139208,2998.7,,red
T,-32.620443,-69.139208,2998.9,,red
T,-32.620443,-69.139216,2999,,red
T,-32.620445,-69.139216,2998.8999999999996,,red
T,-32.620445,-69.139221,2998.8,,red
T,-32.620445,-69.139221,2998.9,,red
T,-32.620445,-69.139221,2998.9,,red
T,-32.620445,-69.139209,2998.7,,red
T,-32.620453,-69.139192,2998.2,,red
T,-32.620462,-69.139119,2997.9,,red
T,-32.620524,-69.139026,2997.2,,red
T,-32.620595,-69.138967,2997.1,,red
T,-32.620632,-69.138823,2996.8999999999996,,red
T,-32.620698,-69.138606,2997.8,,red
T,-32.620751,-69.138547,2999.6,,red
T,-32.620766,-69.138493,3000.5,,red
T,-32.620783,-69.137922,3000.9,,red
T,-32.621044,-69.137372,3000.3,,red
T,-32.621378,-69.137279,2999.3,,red
T,-32.621431,-69.137137,2998.3,,red
T,-32.621535,-69.136985,2996.5,,red
T,-32.621665,-69.136923,2994.8,,red
T,-32.621707,-69.136507,2993.6,,red
T,-32.621922,-69.136369,2992.2,,red
T,-32.622003,-69.135966,2990.7,,red
T,-32.622259,-69.135834,2989.1,,red
T,-32.622352,-69.135301,2987.6,,red
T,-32.622666,-69.135106,2987.8,,red
T,-32.62277,-69.134856,2988.8,,red
T,-32.622904,-69.134555,2989.5,,red
T,-32.623028,-69.134416,2990.6,,red
T,-32.62308,-69.134269,2991.5,,red
T,-32.623139,-69.13414,2990.9,,red
T,-32.623192,-69.134005,2989.5,,red
T,-32.623249,-69.133412,2988.6,,red
T,-32.62347,-69.133087,2988.1,,red
T,-32.623629,-69.132955,2987.3,,red
T,-32.623692,-69.132884,2986,,red
T,-32.623713,-69.132739,2985.9,,red
T,-32.623739,-69.132403,2985.9,,red
T,-32.623787,-69.131891,2984.8,,red
T,-32.623882,-69.131401,2983.3999999999996,,red
T,-32.624009,-69.130783,2982.5,,red
T,-32.624163,-69.130129,2982,,red
T,-32.624335,-69.13007,2981.5,,red
T,-32.624351,-69.129465,2981.3,,red
T,-32.624567,-69.129046,2980.7,,red
T,-32.624707,-69.129072,2980.8,,red
T,-32.624705,-69.129068,2980.8,,red
T,-32.62471,-69.129077,2980.5,,red
T,-32.624718,-69.129091,2981.3,,red
T,-32.624708,-69.129112,2980.8,,red
T,-32.62476,-69.129115,2980.8,,red
T,-32.624761,-69.129111,2980.8,,red
T,-32.624759,-69.129106,2980.3999999999996,,red
T,-32.624787,-69.128962,2980.3999999999996,,red
T,-32.625317,-69.12881,2979.8999999999996,,red
T,-32.625862,-69.128651,2979.3999999999996,,red
T,-32.626401,-69.128633,2979.1,,red
T,-32.626449,-69.128407,2979,,red
T,-32.626994,-69.128192,2978.9,,red
T,-32.62756,-69.128014,2978.4,,red
T,-32.628034,-69.127853,2977.6,,red
T,-32.628576,-69.127597,2977.1,,red
T,-32.629078,-69.127551,2977,,red
T,-32.629177,-69.12738,2976.6,,red
T,-32.629742,-69.127335,2975.8999999999996,,red
T,-32.629997,-69.127233,2975.8,,red
T,-32.630328,-69.127211,2975.7,,red
T,-32.630428,-69.12717,2975.3,,red
T,-32.630999,-69.12713,2975.1,,red
T,-32.631558,-69.127151,2974.7,,red
T,-32.631883,-69.12728,2974.2,,red
T,-32.63242,-69.127478,2974.1,,red
T,-32.632978,-69.127726,2974.2,,red
T,-32.633493,-69.12795,2974.2,,red
T,-32.634031,-69.128,2974.2,,red
T,-32.634237,-69.128069,2974,,red
T,-32.634798,-69.128092,2973.6000000000004,,red
T,-32.634924,-69.128117,2973.4,,red
T,-32.635005,-69.128254,2973.4,,red
T,-32.635547,-69.128282,2973.1000000000004,,red
T,-32.636095,-69.128269,2972.5,,red
T,-32.636296,-69.128292,2972.2,,red
T,-32.636863,-69.128322,2972.3,,red
T,-32.637435,-69.128374,2972.3,,red
T,-32.637992,-69.128278,2972.3,,red
T,-32.638561,-69.128272,2972.4,,red
T,-32.639129,-69.128217,2972.1000000000004,,red
T,-32.639703,-69.128166,2971.6000000000004,,red
T,-32.639933,-69.128067,2970.9,,red
T,-32.64021,-69.127932,2970,,red
T,-32.640743,-69.127921,2969.5,,red
T,-32.640791,-69.127779,2968.7,,red
T,-32.64128,-69.127657,2967.3,,red
T,-32.641845,-69.127612,2966.3,,red
T,-32.642401,-69.12761,2965.9,,red
